,Parcel ID,Address,Sale Date,Sale Price,Qualified Sales,Reason,Acres,Parcel  Class ,Year  Built ,Square Ft ,Price Per  Square Ft ,lat,long
0,08065 000227,5149 GOLDEN OAK CV,10/26/30,"$382,515.00 ",Qualified,FM,0.16,Residential,2020,2973,$128.66 ,34.2405354,-83.912159
1,15025A000042,3656 CANDLER RD,8/11/23,"$270,900.00 ",Qualified,FM,1.86,Residential,1996,1404,$0.00 ,34.1821119,-83.75823
2,10053 000019,4876 PATTERSON LN,8/7/23,"$300,000.00 ",Qualified,FM,2.35,Residential,2005,1943,$154.40 ,34.395485,-83.931653
3,15039S000093,6808 BAYBERRY RDG,8/7/23,"$550,000.00 ",Qualified,FM,0.18,Residential,2015,1942,$283.21 ,34.1368654,-83.8514852
4,15022J000252,3106 SE LEGACY GLEN PATH,8/4/23,"$325,000.00 ",Qualified,FM,0.31,Residential,2007,2149,$151.23 ,34.2798019,-83.7641268
5,15044I000003,3959 PARKS RD,8/4/23,"$357,000.00 ",Qualified,FM,0.27,Residential,1996,1180,$302.54 ,34.2088877,-83.8742357
6,08041 001015,4328 WOODHAVEN LN,8/3/23,"$310,900.00 ",Qualified,FM,0.46,Residential,1972,1677,$185.39 ,34.2554382,-83.8987087
7,15046 000032D,4951 OLD ORR RD,8/2/23,"$250,000.00 ",Qualified,FM,4.13,Residential,1978,1232,$202.92 ,34.1692273,-83.909676
8,15022J000211,3039 SE HERITAGE GLEN DR,8/1/23,"$372,500.00 ",Qualified,FM,0.24,Residential,2019,2388,$155.99 ,34.2784217,-83.7650394
9,01097B000062,2350 NE MARBLERIDGE DR,7/31/23,"$278,999.00 ",Qualified,FM,0.02,Residential,2018,1540,$181.17 ,34.332781,-83.839331
10,10105 007012,682 NW TOMMY AARON DR,7/31/23,"$539,000.00 ",Qualified,FM,0.62,Residential,1985,2360,$228.39 ,34.3613947,-83.8679068
11,12037 000017,6806 SHOAL CREEK RD,7/31/23,"$299,999.00 ",Qualified,FM,1.25,Residential,1920,1088,$275.73 ,34.504298,-83.7882119
12,15044C000177,3877 DEATON RD,7/31/23,"$270,000.00 ",Qualified,FM,0.32,Residential,1996,1165,$231.76 ,34.2027435,-83.8630615
13,10146 000173E,3220 LAKELAND LN,7/31/23,"$220,000.00 ",Qualified,FM,0.5,Residential,1972,880,$250.00 ,34.3634489,-83.8099872
14,10024 000148,5934 BELAFONTE WALK,7/31/23,"$499,779.00 ",Qualified,FM,0.36,Residential,2023,3394,$147.25 ,34.3487489,-83.9517351
15,15041F000159,7305 SHADY TREE CT,7/31/23,"$625,000.00 ",Qualified,FM,0.23,Residential,2020,3296,$189.62 ,34.113737,-83.8674927
16,08080 005007,5462 HULSEY CIR,7/31/23,"$355,000.00 ",Qualified,FM,0.28,Residential,2002,1122,$316.40 ,34.2588582,-83.9406638
17,11158A000090,7344 BARKERS BEND DR,7/31/23,"$280,000.00 ",Qualified,FM,0.35,Residential,1998,1638,$170.94 ,34.4168005,-83.9696514
18,15015D000069,3614 WHISPER WOOD WAY,7/31/23,"$274,400.00 ",Qualified,FM,0.94,Residential,1992,1330,$206.32 ,34.2718104,-83.7244172
19,15036 002008,2943 COLONY CT,7/31/23,"$300,000.00 ",Qualified,FM,0.35,Residential,1978,1560,$192.31 ,34.2194333,-83.8291755
20,15028 000152,4214 NORTON LN,7/31/23,"$740,000.00 ",Qualified,FM,0.51,Residential,2018,3743,$197.70 ,34.163482,-83.796422
21,08016 002114,3537 SW BLACK CHERRY PT,7/31/23,"$550,000.00 ",Qualified,FM,0.15,Residential,2013,1874,$293.49 ,34.2872999,-83.888588
22,15029B000074,5013 LITTLE FOX TRL,7/31/23,"$514,900.00 ",Qualified,FM,2.27,Residential,2008,2825,$182.27 ,34.1807432,-83.8041425
23,15039 000839,6026 WHITE SYCAMORE PL,7/31/23,"$425,000.00 ",Qualified,FM,0.16,Residential,2023,2587,$164.28 ,34.1291343,-83.8409263
24,10014 000057,5617 RIVER STONE RD,7/31/23,"$392,000.00 ",Qualified,FM,1,Residential,2007,2156,$181.82 ,34.374281,-83.957012
